"prod_number","client_name","fulfillment_center_name","po_number","0-7 days","16-23 days","24-31 days","32-45 days","46-60 days","61-90 days","8-15 days",">90 days"
"172817882","RSR INFORMATICS PVT-PAYTM","DELFC4","PO-20180731-1055344",1,0,0,0,0,0,0,0
"174500737","RSR INFORMATICS PVT-PAYTM","DELFC4","PO-20180703-965783",0,0,113,0,0,0,0,0
"174500733","RSR INFORMATICS PVT-PAYTM","DELFC4","PO-20180703-965783",0,0,125,0,0,0,0,0
"174500737","RSR INFORMATICS PVT-PAYTM","DELFC4","PO-20180724-1033285",0,0,0,0,0,0,1,0
"174500737","RSR INFORMATICS PVT-PAYTM","DELFC4","PO-20180724-1033219",0,0,0,0,0,0,1,0
"174500737","RSR INFORMATICS PVT-PAYTM","DELFC4","PO-20180724-1036885",1,0,0,0,0,0,0,0
"153469322","RSR INFORMATICS PVT-PAYTM","DELFC4","PO-20180724-1036804",1,0,0,0,0,0,0,0
"153469322","RSR INFORMATICS PVT-PAYTM","DELFC4","PO-20180724-1036763",1,0,0,0,0,0,0,0
"174500737","RSR INFORMATICS PVT-PAYTM","DELFC4","PO-20180712-1000544",0,1,0,0,0,0,0,0
"174500737","RSR INFORMATICS PVT-PAYTM","DELFC4","PO-20180712-1000484",0,1,0,0,0,0,0,0
"174500737","RSR INFORMATICS PVT-PAYTM","DELFC4","PO-20180714-1009250",0,1,0,0,0,0,0,0
"172817882","RSR INFORMATICS PVT-PAYTM","DELFC4","PO-20180727-1046982",1,0,0,0,0,0,0,0
"172723880","RSR INFORMATICS PVT-PAYTM","DELFC4","PO-20180728-1049197",1,0,0,0,0,0,0,0
"174500737","RSR INFORMATICS PVT-PAYTM","DELFC4","PO-20180728-1049131",1,0,0,0,0,0,0,0
"173328189","RSR INFORMATICS PVT-PAYTM","DELFC4","PO-20180730-1054624",1,0,0,0,0,0,0,0
"187798916","RSR INFORMATICS PVT-PAYTM","DELFC4","PO-20180730-1054763",1,0,0,0,0,0,0,0
"172809171","RSR INFORMATICS PVT-PAYTM","DELFC4","PO-20180730-1054907",1,0,0,0,0,0,0,0
"172809171","RSR INFORMATICS PVT-PAYTM","DELFC4","PO-20180731-1055161",1,0,0,0,0,0,0,0
"172809171","RSR INFORMATICS PVT-PAYTM","DELFC4","PO-20180731-1055395",1,0,0,0,0,0,0,0
"172817882","RSR INFORMATICS PVT-PAYTM","DELFC4","PO-20180731-1055581",1,0,0,0,0,0,0,0
"172723877","RSR INFORMATICS PVT-PAYTM","DELFC4","PO-20180731-1059541",1,0,0,0,0,0,0,0
"173328189","RSR INFORMATICS PVT-PAYTM","DELFC4","PO-20180723-1033101",0,0,0,0,0,0,1,0
"173328189","RSR INFORMATICS PVT-PAYTM","DELFC4","PO-20180723-1033151",0,0,0,0,0,0,1,0
"174500737","RSR INFORMATICS PVT-PAYTM","DELFC4","PO-20180714-1009254",0,1,0,0,0,0,0,0
"172817882","RSR INFORMATICS PVT-PAYTM","DELFC4","PO-20180727-1046595",1,0,0,0,0,0,0,0
"172817882","RSR INFORMATICS PVT-PAYTM","DELFC4","PO-20180727-1047000",1,0,0,0,0,0,0,0
"153469322","RSR INFORMATICS PVT-PAYTM","DELFC4","PO-20180730-1051773",1,0,0,0,0,0,0,0
"173328189","RSR INFORMATICS PVT-PAYTM","DELFC4","PO-20180730-1054570",1,0,0,0,0,0,0,0
"173328189","RSR INFORMATICS PVT-PAYTM","DELFC4","PO-20180730-1054640",1,0,0,0,0,0,0,0
"172809171","RSR INFORMATICS PVT-PAYTM","DELFC4","PO-20180730-1054863",1,0,0,0,0,0,0,0
